festivalId,festival_title,festival_desc,festival_image,festival_region,festival_place,festival_price,festival_cost,festival_period,festival_start,festival_end
1,울산스타트업페스타,"울산스타트업페스타(USF)는 지역 창업가와 VC, 유관기관, 대·중소·중견기업이 모여 1년간의 성과를 공유하는 자리이다.포럼, 데모데이, 경진재회, 전시, 체험 등의 이벤트가 준비되어 있어서 누구나 재미있게 즐길 수 있는 축제이다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1669597168565.jpg,울산시 울주군,울산전시컨벤션센터 1층 A홀,무료,무료,2022. 11. 30. ~ 12. 4.,2022-11-30,2022-12-04
2,2022 유성온천 크리스마스 축제,"유성온천의 겨울을 테마로 경관조명(빛 거리 조성)과 함께 유럽형 크리스마스 마켓 운영으로 사계절 다양한 문화예술 향유 기회를 제공한다.기간 :  2022.12.2(금)~12.4(일) / 경관조명 2022.12.2~2023.1.24(대학로, 온천로)- 성탄트리점등식 : 12.2(금) 18시 / 워터스크린 앞- 크리스마스마켓 : 12.3(토)~12.4(일) 11:00~20:00 / 두드림공연장 앞특히 온 가족이 즐길 수 있는 프로그램을 운영하며, 매일 13시부터는 어린이들을 위한 마술쇼(토)와 어린이뮤지컬코코몽(일)을 공연한다.더불어 어린이 놀이존(꼬마레일기차)과 스티커사진기, K-food존(군고구마, 군밤, 붕어빵, 호떡 등) 등 다양한 부대프로그램을 선보인다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1669335332707.jpg,대전시 유성구,유성온천공원,무료,무료,2022. 12. 2. ~ 4.,2022-12-02,2022-12-04
3,2022 펫츠런(Pets Run)  고양,"2022 누구나 즐거운 도시, 반려동물과 함께라 더 즐거운 고양시에서 12월 2일 3일 양일간 펫츠런(Pets Run)축제가 진행된다.동물친화도시 고양특례시라서 좋은 반려인과 비반려인이 모여 펫티켓을 배우고 서로를 이해하며 관광형 축제를 즐긴다.주요 프로그램으로는 인플루언서 독을 중심으로 나를 따르라 행진, 펫과 함께하는 펫 패션쇼, 펫요가, 댕댕이 없고 뛰기, 노즈워크 대회 등 다양한 미션놀이가 마련되어 참가의 즐거움을 더해줄 예정이다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1668401411273.jpg,경기도 고양시,일산문화광장,무료,무료,2022. 12. 2. ~ 3. / 11:00-17:00,2022-12-02,2022-12-03
4,2022 뷰티풀(Beauty full)  고양,"2022 뷰티풀 고양은 고양시 관광특구 한류특화사업에서 가장 핫한 축제로 준비하는 뷰티 페스티벌 중 하나이다.고양시에는 이미 미용업만해도 3,200여개로 헤어숍이 밀집되어 있는데 한류의 새바람이 되는 뷰티와 패션을 축제로 만들어보는 첫 시도이다.양일간 일산문화광장에서는 헤어, 메이크업, 네일아트, 화장품은 물론 한복체험, K팝 콘테스트 등 다채로운 한류페스티벌이 준비된다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1667953221631.jpg,경기도 고양시,일산문화광장,무료,무료,2022. 12. 2. ~ 3. / 11:00-17:00,2022-12-02,2022-12-03
5,2022외식문화선진화캠페인,푸드테크 기업 소개를 통한 실제 기술 활용 사례 홍보이다.푸드테크 전문가 강연 및 관련 자료를 통한 국내외 첨단 식품 기술 현황을 공유한다.메타버스를 결합한 온라인 개최로 누구나 손쉽게 미래 외식문화를 간접체험 할 수 있다.,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1666590286065.jpg,세종시 세종특별자치시,온라인,무료,무료,2022. 11. 1. ~ 11. 30.,2022-11-01,2022-11-30
6,피나클랜드 왕새우 축제,"피나클랜드는 가을 시즌을 맞이해 수목원에서 펼쳐지는 국화축제와 더불어 왕새우 축제를 동시에 진행한다. 수목원을 찾아주시는 분들께 신선한 제철 왕새우를 저렴한 가격으로 제공한다. 일정 비용을 지부라고 야외 벤치에서 먹고 갈 수 있을뿐 아니라 얼음팩으로 포장도 가능하다. 더불어 전복버터구이, 버터새우머리구이, 새우라면과 아이들이 좋아하는 떡볶이, 어묵 등의 분식메뉴도 함께 준비된다. 행사 운영시간은 오전11시~오후08시까지이다.※ 일부 행사는 현장상황에 따라 변경 및 취소될 수 있다.",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1664935857472.jpg,충청남도 아산시,피나클랜드 수목원 안 먹거리장터,유료(피나클랜드 수목원 입장권 구매 필요),유료,2022. 10. 1. ~ 11. 30. / 11:00~20:00,2022-10-01,2022-11-30
7,마노르블랑 핑크뮬리축제 2022,"""대한민국 핑크뮬리 성지!!! 마노르블랑에서 핑크뮬리축제의 향연이 시작된다.""마노르블랑은 서귀포시에 위치한 가든 카페이다.이곳은 작년에 이어 올해에도 핑크뮬리축제를 맞이하고 있다. 축제기간은 9월부터 11월까지이다.우리나라 최남단에 위치하고 있으며 핑크뮬리가 우리나라에서 가장 빨리 개화중이다.9월에는 사랑과 정성으로 가꾸어진 핑크뮬리를 마노르블랑에서 볼 수 있다.또한 산방산과 송악산 사이로 형제섬과 사계앞바다가 보이는 환상적인 조망은 마노르블랑에서만 볼 수 있다.환상적인 조망과 함께 핑크뮬리 인생샷을 남길 수 있는 다양한 산책로와 포토존이 준비되어 있고 야외 잔디정원에서는 피아노 연주 버스킹을 즐길 수 있다.이곳 마노르블랑은 지금 핑크뮬리축제의 향연이 펼쳐지고 있다. 또한 신상 핑크뮬리 스팟이 공개되어 더욱 기대된다!",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1663809253075.jpg,제주도 서귀포시,마노르블랑,유료 / 입장료 - 초등학생이상 4000원 / 미취학(36개월 이상) 2000원,유료,2022. 9. 13. ~ 11. 30. / 09:00~19:00,2022-09-13,2022-11-30
8,제2회 피나클랜드 국화축제,피나클랜드에서 두번째로 선보이는 가을 국화축제. 수십가지 조형물들로 표현한 국화작품과 탁트인 풍경 속에 어우러진 가을 정취. 피나클랜드에서 직접 마을주민들과 함께 손수 키운 30여종 백만송이 국화향기와 함께 가을의 정취를 느껴보자. 카페 드 피나클에서 준비한 가을 특선 메뉴와 푸드트럭 존을 함께 만나보자.  문의) 041-541-2582  ※ 일부 행사는 현장상황에 따라 변경 및 취소될 수 있다.,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1661820542958.jpg,충청남도 아산시,피나클랜드 수목원 일대,"성인 12,000원 / 청소년 10,000원 / 어린이 8,000원",유료,2022. 9. 1. ~ 11. 30. / 09:00~19:00 (18:00 입장마감),2022-09-01,2022-11-30
9,2022 신산 빛의거리,조용하던 신산 공원에 내려오는 아름다운 달과 별 그리고 펼쳐지는 환상적인 빛의거리6개의 공간으로 조성된 일루미네이션과 제주도의 다양한 예술가들이 펼치는 아름다운 숲 음악회를 포함한 다양한 지역의 문화행사와 지역 상권을 활성화 시키는 많은 이벤트가 열리는 제주도 대표 야간 문화행사,https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1666225310700.jpg,제주도 제주시,신산공원,무료,무료,2022. 11. 7. ~ 11. 28. / 18:00~22:00,2022-11-07,2022-11-28
10,통영수산식품대전,"2022년 통영수산 식품대전은 통영수산물 가공산업 홍보 및 프로모션 활동 전개하여 MZ 세대와 다양한 소비층까지 판로를 확대하고, 바다의 땅 통영의 냉동품, 건조품, 신선식품, 밀키트 등 다양한 수산물 상품을 홍보와 통영수산 식품 브랜드를 소개하는 자리이다.○ 대도시 소비자와 함께하는 통영수산 식품대전○ 통영수산물의 냉동, 건조, 신선식품, 밀키트 등 통영수산 브랜드 홍보",https://www.mcst.go.kr/attachFiles/cultureInfoCourt/localFestival/notifyFestival/1669162484536.jpg,부산시 해운대구,벡스코 야외광장,무료 입장,무료,2022. 11. 24. ~ 27.,2022-11-24,2022-11-27
